Fullname, Course, Score, Experience, StudyMode, StudyPattern
Luke Li,Doctor of Pharmacy (Pharm.D.),96,dentistry,online,
Harry Baker,Doctor of Dental Surgery (D.D.S.),68,physiotherapy,on-campus,PT
Diane Patrick,Doctor of Veterinary Medicine (D.V.M.),53,nursing,,PT
Connor Reid,Doctor of Physical Therapy (D.P.T.),52,nursing,online,
David Peterson,Master of Public Health (M.P.H.),53,nursing,on-campus,FT
Timothy Wilcox,Doctor of Pharmacy (Pharm.D.),92,nursing,on-campus,PT
Ryan Moore,Doctor of Pharmacy (Pharm.D.),66,nursing,,PT
Regina Garcia,Doctor of Medicine (M.D.),85,surgery,online,FT
Brittany Anderson,Doctor of Osteopathic Medicine (D.O.),65,,,
Brandon Torres,Doctor of Optometry (O.D.),54,nursing,on-campus,FT
Heather Lane,Doctor of Chiropractic (D.C.),74,nutrition,on-campus,FT
Mrs. Sandra Buckley,Doctor of Podiatric Medicine (D.P.M.),75,,online,
Dr. Kevin Lopez Jr.,Doctor of Pharmacy (Pharm.D.),66,physiotherapy,,PT
James Garcia,Master of Public Health (M.P.H.),65,dentistry,,FT
Christina Cook,Master of Public Health (M.P.H.),99,,on-campus,
Annette Tapia,Doctor of Physical Therapy (D.P.T.),67,nursing,online,
Martha Owens,Doctor of Chiropractic (D.C.),94,,on-campus,
Julie Ellis,Bachelor of Science in Biomedical Science (B.S.),77,nursing,,PT
Lucas Rush,Doctor of Pharmacy (Pharm.D.),58,physiotherapy,online,
Brian Carter DDS,Bachelor of Science in Biomedical Science (B.S.),99,nutrition,on-campus,
Julie Price,Doctor of Veterinary Medicine (D.V.M.),82,immunology,on-campus,
Jared Jones,Doctor of Medicine (M.D.),82,nursing,,
William White,Master of Health Administration (M.H.A.),63,dentistry,on-campus,PT
Daniel Mcclure,Bachelor of Science in Biomedical Science (B.S.),61,physiotherapy,online,PT
Robin Davenport,Doctor of Podiatric Medicine (D.P.M.),70,physiotherapy,on-campus,
Bryan Kennedy,Doctor of Nursing Practice (D.N.P.),58,nursing,on-campus,FT
Jason Mcintosh,Doctor of Medicine (M.D.),94,physiotherapy,,
Larry Adams,Doctor of Nursing Practice (D.N.P.),75,dentistry,,FT
Charles Baxter,Doctor of Medicine (M.D.),70,immunology,,PT
Mark Steele,Doctor of Podiatric Medicine (D.P.M.),92,dentistry,online,FT
Jorge Garza,Doctor of Physical Therapy (D.P.T.),67,physiotherapy,on-campus,PT
Michael Booker,Doctor of Medicine (M.D.),88,nutrition,,
Barbara Vasquez,Doctor of Nursing Practice (D.N.P.),85,physiotherapy,,PT
Mrs. Diamond Cannon,Doctor of Dental Surgery (D.D.S.),70,surgery,on-campus,
Reginald Kramer,Doctor of Nursing Practice (D.N.P.),84,physiotherapy,on-campus,
Martin Edwards,Doctor of Podiatric Medicine (D.P.M.),75,,,PT
Danielle Wright,Doctor of Pharmacy (Pharm.D.),93,surgery,on-campus,
Elizabeth Johnson,Doctor of Osteopathic Medicine (D.O.),78,physiotherapy,online,FT
Katelyn Carlson,Doctor of Veterinary Medicine (D.V.M.),74,physiotherapy,on-campus,PT
Rebecca Esparza,Doctor of Physical Therapy (D.P.T.),90,dentistry,on-campus,
Karen Parker,Bachelor of Science in Biomedical Science (B.S.),59,immunology,on-campus,PT
Jessica Lester,Doctor of Physical Therapy (D.P.T.),87,surgery,on-campus,PT
Jennifer Gomez,Master of Health Administration (M.H.A.),63,surgery,online,FT
Abigail Mcknight,Master of Health Administration (M.H.A.),59,surgery,online,
Dawn Wells,Bachelor of Science in Nursing (B.S.N.),90,nursing,,PT
Mariah Brooks,Doctor of Veterinary Medicine (D.V.M.),95,nursing,on-campus,FT
Brian Glenn,Doctor of Podiatric Medicine (D.P.M.),61,nutrition,online,PT
Sophia Hahn,Bachelor of Science in Nursing (B.S.N.),81,,,
Mike Lewis,Doctor of Dental Medicine (D.M.D.),83,dentistry,online,PT
Jason Smith,Bachelor of Science in Nursing (B.S.N.),87,physiotherapy,online,PT
Kerry Wall,Doctor of Dental Surgery (D.D.S.),80,nutrition,online,
Daniel Sellers,Bachelor of Science in Biomedical Science (B.S.),81,nutrition,online,PT
Mr. Kevin Sanders,Doctor of Osteopathic Medicine (D.O.),83,nutrition,,FT
Sarah Washington,Doctor of Optometry (O.D.),79,surgery,,
David Williams,Doctor of Dental Surgery (D.D.S.),91,dentistry,,PT
Richard Durham,Doctor of Veterinary Medicine (D.V.M.),85,nutrition,online,
Thomas Wallace,Bachelor of Science in Nursing (B.S.N.),92,,on-campus,FT
Patricia Cook,Doctor of Dental Medicine (D.M.D.),57,immunology,on-campus,
Corey Wallace,Doctor of Dental Surgery (D.D.S.),94,dentistry,online,
Richard Roberson,Master of Health Administration (M.H.A.),58,physiotherapy,on-campus,
Anthony Robinson,Bachelor of Science in Biomedical Science (B.S.),82,dentistry,online,FT
Erin Young,Doctor of Osteopathic Medicine (D.O.),98,physiotherapy,,PT
Hannah Joseph,Doctor of Nursing Practice (D.N.P.),79,physiotherapy,on-campus,PT
Andrea Payne,Doctor of Pharmacy (Pharm.D.),99,,,
William Perry,Doctor of Dental Medicine (D.M.D.),83,dentistry,on-campus,
Brenda Johnson,Doctor of Dental Medicine (D.M.D.),92,,on-campus,PT
Kevin Hoffman,Doctor of Pharmacy (Pharm.D.),71,nutrition,,PT
Diana Fisher,Master of Public Health (M.P.H.),96,immunology,online,FT
Ashley Zimmerman,Doctor of Veterinary Medicine (D.V.M.),63,physiotherapy,,PT
Susan Guzman,Bachelor of Science in Nursing (B.S.N.),73,dentistry,on-campus,
April Fowler,Bachelor of Science in Nursing (B.S.N.),58,nursing,,FT
Jessica Stokes,Doctor of Nursing Practice (D.N.P.),84,surgery,online,PT
Cynthia Jackson,Doctor of Pharmacy (Pharm.D.),53,nursing,online,
Cynthia Evans,Doctor of Physical Therapy (D.P.T.),75,immunology,,
Linda Brown,Doctor of Dental Surgery (D.D.S.),84,,on-campus,
Abigail Hayes,Doctor of Dental Surgery (D.D.S.),87,dentistry,,FT
Monica Williams,Doctor of Dental Medicine (D.M.D.),72,,online,
Dustin Tran,Doctor of Dental Surgery (D.D.S.),58,immunology,on-campus,FT
Samantha Richardson,Doctor of Physical Therapy (D.P.T.),81,nutrition,online,
Lisa Griffin,Doctor of Podiatric Medicine (D.P.M.),91,nursing,,PT
Cheryl Matthews,Doctor of Veterinary Medicine (D.V.M.),83,nursing,on-campus,PT
Tracy Stanley,Doctor of Dental Surgery (D.D.S.),75,,online,FT
Robin Wright,Master of Health Administration (M.H.A.),90,physiotherapy,online,FT
Michael Wilcox,Doctor of Optometry (O.D.),99,nutrition,online,PT
Judy Gill,Doctor of Dental Medicine (D.M.D.),97,immunology,on-campus,PT
Madison Thomas,Bachelor of Science in Nursing (B.S.N.),53,immunology,,PT
Ryan Anderson,Bachelor of Science in Nursing (B.S.N.),89,physiotherapy,online,FT
Debra Johnson,Doctor of Optometry (O.D.),64,immunology,online,
Catherine Foster,Bachelor of Science in Biomedical Science (B.S.),52,surgery,on-campus,PT
Ralph Ali,Doctor of Dental Medicine (D.M.D.),94,surgery,online,PT
Clinton Williams,Doctor of Dental Surgery (D.D.S.),53,immunology,on-campus,
Angela Sanders,Doctor of Veterinary Medicine (D.V.M.),85,nursing,online,
Robert Case,Doctor of Osteopathic Medicine (D.O.),72,nursing,online,
Tanya Long,Doctor of Podiatric Medicine (D.P.M.),88,physiotherapy,,FT
Heather Bauer,Doctor of Medicine (M.D.),78,immunology,,FT
Michael Schroeder,Doctor of Osteopathic Medicine (D.O.),76,,,
Jennifer Nguyen,Doctor of Dental Surgery (D.D.S.),100,physiotherapy,on-campus,
Bethany Richardson,Doctor of Dental Medicine (D.M.D.),80,dentistry,,
Kathleen Cohen,Master of Public Health (M.P.H.),61,physiotherapy,online,
Chelsea Landry,Doctor of Osteopathic Medicine (D.O.),64,physiotherapy,online,
Jennifer Andrews,Doctor of Chiropractic (D.C.),86,immunology,on-campus,FT
Kevin Mason,Master of Health Administration (M.H.A.),55,nursing,,
Mark Garcia,Doctor of Medicine (M.D.),70,nutrition,online,
Teresa Gonzales,Doctor of Chiropractic (D.C.),95,physiotherapy,online,PT
Jeffrey Novak,Doctor of Dental Medicine (D.M.D.),59,,,FT
Joseph Harding,Doctor of Veterinary Medicine (D.V.M.),67,nursing,online,PT
Isaac Garcia,Bachelor of Science in Nursing (B.S.N.),61,dentistry,on-campus,
Diane Powell MD,Bachelor of Science in Nursing (B.S.N.),79,surgery,,PT
Mrs. Dawn Sullivan,Master of Public Health (M.P.H.),64,,on-campus,
Charles Fry,Doctor of Physical Therapy (D.P.T.),90,immunology,on-campus,
Renee Schroeder,Doctor of Optometry (O.D.),56,nursing,on-campus,PT
Adam Stone,Doctor of Osteopathic Medicine (D.O.),57,surgery,on-campus,
Albert Fuller,Master of Health Administration (M.H.A.),87,,on-campus,PT
Justin Medina,Master of Health Administration (M.H.A.),77,immunology,,FT
Anthony Kelly,Master of Public Health (M.P.H.),73,physiotherapy,,
William Nixon,Doctor of Osteopathic Medicine (D.O.),92,,online,PT
Tara Fernandez,Doctor of Osteopathic Medicine (D.O.),99,nutrition,online,FT
Abigail Martin,Doctor of Dental Medicine (D.M.D.),83,physiotherapy,online,PT
Courtney Olsen,Doctor of Nursing Practice (D.N.P.),53,nursing,on-campus,FT
Katherine Robertson,Bachelor of Science in Nursing (B.S.N.),60,immunology,on-campus,PT
Katherine Smith,Doctor of Medicine (M.D.),51,nutrition,,FT
Pamela Pierce,Doctor of Nursing Practice (D.N.P.),99,,online,
Hannah Jackson,Doctor of Dental Surgery (D.D.S.),72,immunology,on-campus,
Noah Williams,Master of Health Administration (M.H.A.),95,nutrition,on-campus,FT
Robert Bowen,Doctor of Dental Medicine (D.M.D.),89,nursing,online,
Mr. Patrick Le MD,Doctor of Physical Therapy (D.P.T.),90,,,FT
Barbara Fields,Doctor of Dental Surgery (D.D.S.),91,nursing,online,PT
Eric Wilson,Doctor of Chiropractic (D.C.),90,nursing,on-campus,
Heather Hutchinson,Bachelor of Science in Biomedical Science (B.S.),77,physiotherapy,on-campus,
Jacob Schmitt,Bachelor of Science in Nursing (B.S.N.),76,dentistry,on-campus,PT
Henry Kerr,Bachelor of Science in Nursing (B.S.N.),64,nursing,on-campus,
Jeremy Ryan,Doctor of Dental Surgery (D.D.S.),72,dentistry,online,
Mark Davidson,Doctor of Optometry (O.D.),83,nutrition,online,
Caitlin Mcdaniel,Doctor of Pharmacy (Pharm.D.),99,nursing,on-campus,PT
Matthew Trevino,Doctor of Chiropractic (D.C.),89,nursing,,PT
Mark Smith,Bachelor of Science in Nursing (B.S.N.),57,nursing,online,FT
Heather Powers,Doctor of Osteopathic Medicine (D.O.),66,immunology,online,PT
Ronald Roberts,Doctor of Dental Medicine (D.M.D.),54,nursing,,
Kevin Robbins,Doctor of Osteopathic Medicine (D.O.),68,dentistry,,
Stephanie Adams,Doctor of Physical Therapy (D.P.T.),79,surgery,online,FT
Roy Taylor,Doctor of Optometry (O.D.),53,surgery,on-campus,PT
Casey Holt,Doctor of Optometry (O.D.),74,surgery,on-campus,PT
Jay Richard,Doctor of Veterinary Medicine (D.V.M.),66,dentistry,online,PT
Carlos Smith,Doctor of Veterinary Medicine (D.V.M.),73,,online,PT
Emily Brewer,Doctor of Chiropractic (D.C.),67,surgery,on-campus,FT
Lisa Johnson,Doctor of Dental Medicine (D.M.D.),79,nutrition,,
Devin Richardson,Bachelor of Science in Biomedical Science (B.S.),98,physiotherapy,,PT
Zachary Ramos,Doctor of Podiatric Medicine (D.P.M.),76,nutrition,,FT
Julie Reeves,Doctor of Optometry (O.D.),78,immunology,on-campus,FT
Karla Hernandez,Doctor of Podiatric Medicine (D.P.M.),97,dentistry,,
Meghan Rose,Master of Public Health (M.P.H.),58,surgery,online,FT
Alexander Smith,Doctor of Pharmacy (Pharm.D.),56,surgery,,PT
Karen Powell,Doctor of Osteopathic Medicine (D.O.),83,dentistry,,
Jerome Moon,Doctor of Chiropractic (D.C.),64,surgery,online,FT
Thomas Thomas,Doctor of Optometry (O.D.),80,immunology,on-campus,FT
Lisa Walker,Bachelor of Science in Biomedical Science (B.S.),64,nutrition,,PT
Alyssa Clements,Bachelor of Science in Biomedical Science (B.S.),57,surgery,,PT
Matthew Proctor,Doctor of Osteopathic Medicine (D.O.),59,,online,
James Cervantes,Doctor of Veterinary Medicine (D.V.M.),54,immunology,,PT
Holly Rogers,Doctor of Dental Surgery (D.D.S.),95,physiotherapy,,FT
Daniel Raymond,Doctor of Physical Therapy (D.P.T.),87,nutrition,,FT
William Hall,Doctor of Podiatric Medicine (D.P.M.),71,surgery,on-campus,FT
Ricardo Robinson,Bachelor of Science in Biomedical Science (B.S.),86,nutrition,on-campus,PT
Maria Gonzalez,Doctor of Podiatric Medicine (D.P.M.),64,nutrition,online,PT
Maria Johnson,Doctor of Podiatric Medicine (D.P.M.),84,physiotherapy,online,PT
Eric Steele,Master of Public Health (M.P.H.),92,dentistry,on-campus,
Michelle Kirk,Doctor of Medicine (M.D.),60,dentistry,,
Zachary Wilson,Doctor of Nursing Practice (D.N.P.),74,,on-campus,PT
Stephanie Reed,Doctor of Dental Medicine (D.M.D.),59,,,FT
Robin Guerrero,Bachelor of Science in Biomedical Science (B.S.),57,,on-campus,
Karen Mitchell,Doctor of Physical Therapy (D.P.T.),92,nursing,online,
Frances Owen,Doctor of Nursing Practice (D.N.P.),54,nursing,,FT
Nicole Cooper,Bachelor of Science in Biomedical Science (B.S.),95,nutrition,,PT
Amanda Pineda,Doctor of Chiropractic (D.C.),78,surgery,on-campus,FT
Thomas Bailey,Doctor of Osteopathic Medicine (D.O.),76,physiotherapy,online,
Anita Taylor DDS,Bachelor of Science in Nursing (B.S.N.),70,,online,
Christopher Garcia,Doctor of Nursing Practice (D.N.P.),64,physiotherapy,on-campus,
Ernest Galloway,Doctor of Dental Surgery (D.D.S.),69,surgery,,PT
Julia Brewer,Doctor of Medicine (M.D.),90,nursing,on-campus,
Victoria Guzman,Master of Public Health (M.P.H.),72,surgery,online,PT
Jeffrey Guzman,Doctor of Chiropractic (D.C.),98,dentistry,on-campus,PT
Robert Frost,Doctor of Dental Medicine (D.M.D.),50,nursing,,
Elizabeth Jones,Doctor of Osteopathic Medicine (D.O.),60,physiotherapy,,PT
Diane Mills,Doctor of Optometry (O.D.),94,physiotherapy,,PT
Daniel Collins,Doctor of Pharmacy (Pharm.D.),98,nutrition,online,FT
Gail Fisher,Doctor of Nursing Practice (D.N.P.),54,nutrition,online,
Patricia Hart,Doctor of Pharmacy (Pharm.D.),67,dentistry,on-campus,FT
Clayton Bennett,Master of Health Administration (M.H.A.),70,dentistry,on-campus,FT
Taylor Long,Doctor of Nursing Practice (D.N.P.),83,nursing,on-campus,FT
Philip Reilly,Master of Health Administration (M.H.A.),85,,online,PT
Jonathan Douglas,Doctor of Veterinary Medicine (D.V.M.),91,nursing,,PT
Sarah Miller,Doctor of Dental Medicine (D.M.D.),66,surgery,online,PT
Gina Rubio,Doctor of Dental Medicine (D.M.D.),97,,,PT
Marcus Mitchell,Doctor of Medicine (M.D.),62,dentistry,,PT
Stephanie Mullen,Master of Health Administration (M.H.A.),73,surgery,online,FT
Mrs. Amanda Mayo,Doctor of Physical Therapy (D.P.T.),57,immunology,online,PT
Aimee Foster,Doctor of Osteopathic Medicine (D.O.),95,dentistry,on-campus,PT
Timothy Reynolds,Doctor of Physical Therapy (D.P.T.),87,nursing,online,FT
Carmen Garcia,Doctor of Podiatric Medicine (D.P.M.),69,dentistry,on-campus,PT
Samuel Cervantes,Doctor of Nursing Practice (D.N.P.),91,physiotherapy,online,PT
Russell Clark,Doctor of Osteopathic Medicine (D.O.),90,surgery,online,
Bruce Jennings,Doctor of Medicine (M.D.),95,,,
Sarah Herrera,Doctor of Physical Therapy (D.P.T.),91,,on-campus,PT
Eric Diaz,Doctor of Osteopathic Medicine (D.O.),94,nursing,,
Lauren Schultz,Bachelor of Science in Biomedical Science (B.S.),50,immunology,online,FT
Kelsey Perez,Master of Public Health (M.P.H.),72,,,
Robert Hill,Doctor of Dental Surgery (D.D.S.),94,,,
Michael Kelly,Doctor of Physical Therapy (D.P.T.),99,surgery,online,
Sheila Smith,Doctor of Chiropractic (D.C.),52,,,FT
Frank Lowe,Doctor of Nursing Practice (D.N.P.),68,,on-campus,PT
Timothy Johns,Master of Public Health (M.P.H.),58,nutrition,online,FT
Gina Phillips,Bachelor of Science in Nursing (B.S.N.),65,surgery,online,PT
Gregory Villarreal,Doctor of Dental Medicine (D.M.D.),93,nutrition,,PT
Jill Murphy,Doctor of Pharmacy (Pharm.D.),51,,on-campus,FT
Laura Martin,Doctor of Nursing Practice (D.N.P.),63,physiotherapy,on-campus,
Janet Mills DDS,Doctor of Dental Surgery (D.D.S.),79,dentistry,on-campus,
Anthony White,Doctor of Pharmacy (Pharm.D.),73,surgery,,PT
Madison Schneider,Doctor of Pharmacy (Pharm.D.),100,nursing,,FT
John Gregory,Doctor of Osteopathic Medicine (D.O.),64,physiotherapy,on-campus,
Mr. Joseph Moss,Doctor of Podiatric Medicine (D.P.M.),72,dentistry,online,FT
Mr. Cameron Adkins,Master of Health Administration (M.H.A.),67,physiotherapy,on-campus,PT
Deborah Figueroa,Doctor of Dental Medicine (D.M.D.),100,surgery,on-campus,PT
Douglas Sanchez,Doctor of Physical Therapy (D.P.T.),67,nursing,on-campus,FT
Alexander Choi,Doctor of Pharmacy (Pharm.D.),78,immunology,,PT
Joshua Villarreal,Doctor of Dental Surgery (D.D.S.),60,nursing,online,FT
Ray Davis,Doctor of Podiatric Medicine (D.P.M.),95,immunology,online,FT
Lori Alexander,Doctor of Medicine (M.D.),89,surgery,on-campus,PT
Brandi Rice,Doctor of Optometry (O.D.),66,,,PT
Mark Delgado,Bachelor of Science in Biomedical Science (B.S.),58,nutrition,on-campus,FT
Christine Moore,Doctor of Chiropractic (D.C.),70,nutrition,online,PT
Daniel Gray,Master of Health Administration (M.H.A.),53,immunology,on-campus,PT
Arthur Shepherd,Doctor of Physical Therapy (D.P.T.),98,immunology,on-campus,
Dawn Taylor,Doctor of Optometry (O.D.),93,surgery,on-campus,
Adrian Cross,Doctor of Physical Therapy (D.P.T.),91,surgery,online,FT
Kimberly Coleman,Master of Health Administration (M.H.A.),70,,online,FT
Susan Wheeler,Doctor of Dental Medicine (D.M.D.),72,nursing,,PT
Nicholas Harding,Doctor of Veterinary Medicine (D.V.M.),51,surgery,online,PT
Rebecca Evans,Doctor of Nursing Practice (D.N.P.),86,physiotherapy,on-campus,PT
Tony Vaughn,Doctor of Podiatric Medicine (D.P.M.),53,nursing,on-campus,
Denise Robinson,Bachelor of Science in Nursing (B.S.N.),58,surgery,,FT
Alexander Valencia DDS,Doctor of Pharmacy (Pharm.D.),80,surgery,online,
Meredith Wright,Doctor of Veterinary Medicine (D.V.M.),74,nursing,online,
Trevor Phillips,Doctor of Nursing Practice (D.N.P.),73,immunology,,FT
Michelle Vaughan,Bachelor of Science in Biomedical Science (B.S.),72,physiotherapy,,PT
Jennifer Bennett,Bachelor of Science in Nursing (B.S.N.),61,nutrition,online,
Casey Clark,Bachelor of Science in Biomedical Science (B.S.),98,physiotherapy,online,FT
Joyce Sparks,Doctor of Chiropractic (D.C.),54,nursing,,
Shawn Avila,Master of Public Health (M.P.H.),83,immunology,,
Jason Goodman,Doctor of Podiatric Medicine (D.P.M.),56,nursing,online,
Lauren Miller,Doctor of Optometry (O.D.),74,nursing,on-campus,
Thomas Miller,Doctor of Podiatric Medicine (D.P.M.),67,immunology,online,FT
Tony Hart,Master of Health Administration (M.H.A.),65,physiotherapy,on-campus,FT
Nicole Randall,Doctor of Podiatric Medicine (D.P.M.),85,immunology,online,FT
Mike Willis,Doctor of Medicine (M.D.),60,physiotherapy,on-campus,PT
Natalie Mercado,Doctor of Physical Therapy (D.P.T.),86,,,
Karen Austin MD,Doctor of Veterinary Medicine (D.V.M.),73,dentistry,,FT
Heather Davila,Doctor of Veterinary Medicine (D.V.M.),68,immunology,online,
Sophia Finley,Doctor of Pharmacy (Pharm.D.),67,surgery,,PT
Edgar Garcia,Doctor of Pharmacy (Pharm.D.),75,nutrition,online,FT
Cheyenne Lewis,Doctor of Dental Surgery (D.D.S.),81,immunology,,PT
Destiny Carr,Doctor of Pharmacy (Pharm.D.),57,,,
Margaret Henson,Doctor of Optometry (O.D.),51,immunology,on-campus,FT
Adam Parks,Doctor of Osteopathic Medicine (D.O.),61,dentistry,on-campus,
Bailey Lee,Doctor of Podiatric Medicine (D.P.M.),56,dentistry,online,FT
Anthony Young,Doctor of Pharmacy (Pharm.D.),92,immunology,on-campus,
Bryan Vasquez,Doctor of Nursing Practice (D.N.P.),58,nursing,online,PT
Katherine Harrington,Doctor of Optometry (O.D.),97,surgery,online,
Tyler Marsh,Doctor of Nursing Practice (D.N.P.),56,dentistry,online,PT
Nicole Brown,Master of Public Health (M.P.H.),77,,online,PT
Sheila Wood,Bachelor of Science in Biomedical Science (B.S.),73,surgery,on-campus,
Vicki Lee,Bachelor of Science in Nursing (B.S.N.),89,nutrition,online,PT
Elizabeth Miller,Master of Public Health (M.P.H.),80,nutrition,online,
Katherine King,Doctor of Dental Surgery (D.D.S.),72,surgery,online,PT
Rachel Guzman,Master of Public Health (M.P.H.),75,physiotherapy,,
Jason Smith,Master of Health Administration (M.H.A.),79,surgery,on-campus,FT
Amy Lewis,Bachelor of Science in Nursing (B.S.N.),66,nursing,on-campus,
Andrew Stokes,Doctor of Podiatric Medicine (D.P.M.),84,nursing,,PT
Shelly Cook,Doctor of Dental Surgery (D.D.S.),53,nutrition,,PT
Amy Holder,Doctor of Podiatric Medicine (D.P.M.),50,,online,FT
Krista Rollins,Doctor of Dental Surgery (D.D.S.),52,nursing,on-campus,
Joshua Oconnor,Doctor of Osteopathic Medicine (D.O.),69,surgery,,FT
Chase Parker,Master of Public Health (M.P.H.),95,nursing,on-campus,PT
Oscar Olsen,Doctor of Chiropractic (D.C.),87,,,FT
Margaret Cannon,Doctor of Pharmacy (Pharm.D.),84,surgery,online,
Mary Martinez,Doctor of Dental Surgery (D.D.S.),50,immunology,online,PT
Brett Diaz,Doctor of Nursing Practice (D.N.P.),74,nutrition,,
James Bush,Doctor of Optometry (O.D.),61,nutrition,online,FT
Julie Rodriguez,Master of Health Administration (M.H.A.),77,physiotherapy,,PT
Jennifer Hicks,Doctor of Dental Medicine (D.M.D.),96,physiotherapy,,PT
Brooke Hardy,Doctor of Dental Surgery (D.D.S.),60,immunology,online,PT
Lisa Larson,Doctor of Osteopathic Medicine (D.O.),77,nursing,online,
Kathy Santiago,Bachelor of Science in Biomedical Science (B.S.),66,dentistry,,PT
Karen Frye,Bachelor of Science in Nursing (B.S.N.),85,physiotherapy,on-campus,FT
Dale Little,Doctor of Dental Surgery (D.D.S.),97,dentistry,,PT
Andrea Shields,Doctor of Dental Surgery (D.D.S.),62,nursing,on-campus,PT
Tracy Lee,Bachelor of Science in Nursing (B.S.N.),90,nursing,online,FT
Gregory Marshall,Doctor of Dental Surgery (D.D.S.),91,immunology,on-campus,PT
Ernest Smith DDS,Bachelor of Science in Nursing (B.S.N.),54,nursing,online,
Mckenzie Guzman,Doctor of Podiatric Medicine (D.P.M.),58,,online,
Mary Rice,Doctor of Medicine (M.D.),72,immunology,on-campus,
Elizabeth Martinez,Doctor of Optometry (O.D.),70,nursing,,PT
Karen Walker,Doctor of Dental Surgery (D.D.S.),79,immunology,online,FT
Kimberly Jensen,Bachelor of Science in Nursing (B.S.N.),73,,online,FT
Krystal Mccullough,Doctor of Chiropractic (D.C.),98,immunology,online,FT
Tracy Davis,Doctor of Dental Surgery (D.D.S.),81,,on-campus,
Natalie Green,Doctor of Veterinary Medicine (D.V.M.),75,nutrition,on-campus,
Raymond Morales,Doctor of Podiatric Medicine (D.P.M.),80,immunology,on-campus,FT
Wyatt Walters,Doctor of Dental Surgery (D.D.S.),58,physiotherapy,online,
Catherine Costa,Master of Public Health (M.P.H.),72,,,FT
Jessica Herrera,Doctor of Dental Surgery (D.D.S.),94,physiotherapy,,
Laura Hines,Doctor of Physical Therapy (D.P.T.),53,physiotherapy,online,FT
Frank Brown,Master of Public Health (M.P.H.),91,nutrition,online,FT
Michael Day,Bachelor of Science in Nursing (B.S.N.),98,,,FT
Gary Marshall,Doctor of Physical Therapy (D.P.T.),64,nutrition,,PT
Leonard Guzman,Doctor of Optometry (O.D.),75,surgery,online,PT
William Parker,Master of Public Health (M.P.H.),81,nursing,on-campus,PT
Robert Fuentes,Master of Public Health (M.P.H.),75,physiotherapy,online,PT
Chad Goodwin,Doctor of Nursing Practice (D.N.P.),92,physiotherapy,,
Jordan Stafford,Bachelor of Science in Nursing (B.S.N.),72,immunology,on-campus,FT
Ian Dominguez,Master of Health Administration (M.H.A.),72,dentistry,online,FT
Sydney Hernandez,Doctor of Dental Surgery (D.D.S.),88,,,PT
Jennifer Walker,Doctor of Osteopathic Medicine (D.O.),52,nutrition,,
Patricia Ayers,Doctor of Medicine (M.D.),61,physiotherapy,,PT
Briana Johnson,Master of Health Administration (M.H.A.),57,,online,FT
Kimberly Palmer,Doctor of Pharmacy (Pharm.D.),56,,on-campus,
Selena Johnson,Doctor of Osteopathic Medicine (D.O.),75,surgery,on-campus,PT
Phyllis White,Doctor of Dental Surgery (D.D.S.),77,nutrition,online,FT
Richard Sutton,Doctor of Nursing Practice (D.N.P.),77,surgery,online,PT
Stephen Cruz,Master of Health Administration (M.H.A.),60,dentistry,on-campus,PT
Angela Watkins,Master of Health Administration (M.H.A.),59,nutrition,on-campus,PT
Casey Cruz,Doctor of Pharmacy (Pharm.D.),73,physiotherapy,online,
Lindsay Porter,Bachelor of Science in Biomedical Science (B.S.),87,,,FT
Kimberly Simmons,Doctor of Osteopathic Medicine (D.O.),98,immunology,on-campus,PT
Thomas Martin,Doctor of Nursing Practice (D.N.P.),91,immunology,online,FT
Monique Delgado,Doctor of Podiatric Medicine (D.P.M.),88,nursing,online,
Elizabeth Williams,Doctor of Dental Medicine (D.M.D.),95,immunology,,
Sarah Banks,Doctor of Nursing Practice (D.N.P.),82,immunology,on-campus,
Cindy Torres,Doctor of Osteopathic Medicine (D.O.),96,dentistry,online,PT
Victoria Marshall,Doctor of Dental Medicine (D.M.D.),95,nutrition,on-campus,PT
Ryan Smith,Doctor of Optometry (O.D.),79,surgery,,PT
Steven Bird,Master of Health Administration (M.H.A.),54,physiotherapy,on-campus,
Paul Robinson,Doctor of Medicine (M.D.),82,immunology,,PT
Chelsea Richardson,Bachelor of Science in Biomedical Science (B.S.),73,dentistry,,
Vanessa Robinson,Doctor of Podiatric Medicine (D.P.M.),86,physiotherapy,online,FT
Brian Jones,Master of Public Health (M.P.H.),96,immunology,online,PT
Benjamin Jones,Bachelor of Science in Biomedical Science (B.S.),64,immunology,on-campus,
Jonathan Bowers,Doctor of Chiropractic (D.C.),68,immunology,,
Robin Martin,Doctor of Chiropractic (D.C.),92,nursing,online,FT
Tracey Frank,Doctor of Optometry (O.D.),73,surgery,online,PT
James Rice,Doctor of Veterinary Medicine (D.V.M.),95,physiotherapy,on-campus,
John Martin,Master of Public Health (M.P.H.),72,nutrition,on-campus,
Stacy Frazier,Doctor of Veterinary Medicine (D.V.M.),63,physiotherapy,online,FT
Linda Johnson,Doctor of Dental Medicine (D.M.D.),70,physiotherapy,online,
Sarah Burke,Doctor of Physical Therapy (D.P.T.),50,immunology,,FT
Mr. Christopher Mays MD,Master of Public Health (M.P.H.),70,immunology,,
Kari Pineda,Doctor of Optometry (O.D.),56,dentistry,,PT
David Clarke,Doctor of Osteopathic Medicine (D.O.),90,surgery,,PT
Hannah Hardin,Bachelor of Science in Biomedical Science (B.S.),79,,on-campus,PT
